,1,2,3,4,5,6,7,8,9,10
,斗鱼,熊猫TV,虎牙,战旗TV,龙珠,火猫,花椒,一直播,全民TV,触手TV
2017年08月19日（周六）,10423848,1512480,258041,2728595,308116,659155,267239,164533,211542,173730
2017年08月20日（周日）,10423848,1512480,245267,2728595,308116,659155,287677,183950,200812,153291
2017年08月21日（周一）,10423848,1532918,219718,2728595,311693,705142,284612,203878,196724,168621
2017年08月22日（周二）,10321654,1543138,219718,2651949,318336,694923,282057,228915,226360,183950
2017年08月23日（周三）,10321654,1573796,214097,2590633,309138,689813,275925,246289,226360,195191
2017年08月24日（周四）,9044221,1589125,230448,2534426,296364,694923,251398,224828,217163,200301
2017年08月25日（周五）,8993124,1599345,211031,2539535,260596,674484,236069,229937,261107,200301
2017年08月26日（周六）,7460205,1635113,239646,2544645,296364,659155,217163,238113,271326,190082
2017年08月27日（周日）,7562400,1635113,265195,2513987,281035,597838,198768,237602,276947,221762
2017年08月28日（周一）,8788735,1701540,280524,2529316,287166,577399,213075,227894,268260,235558
2017年08月29日（周二）,10219459,1732198,286145,2493548,269282,582509,206944,213075,274392,235558
2017年08月30日（周三）,11445794,1849722,353082,2580413,249865,613167,218696,200812,280524,237602
2017年08月31日（周四）,11496892,1839502,336731,2600852,260085,602948,228915,190593,244245,227383
2017年09月01日（周五）,11394697,1880380,330599,2549755,265706,633606,244245,185483,205411,243734
2017年09月02日（周六）,11394697,1865051,317314,2498658,240157,638716,228915,187527,231981,253953
2017年09月03日（周日）,10117265,1885490,291765,2457780,216652,689813,211542,199279,180884,232492
2017年09月04日（周一）,10015070,1819063,296875,2381134,196724,659155,181906,201834,197746,223806
2017年09月05日（周二）,8635443,1742417,300963,2422012,237602,643826,170154,206944,181906,218696
2017年09月06日（周三）,7460205,1624894,224317,2304488,242712,633606,158401,213075,160445,205411
2017年09月07日（周四）,7358010,1604455,230449,2335146,250376,669374,148182,248333,202856,215630
2017年09月08日（周五）,5876189,1502260,225339,2278939,234536,689813,157890,260085,240668,189060
2017年09月09日（周六）,7664594,1466492,225339,2227842,295853,715362,163000,285633,249865,191615
2017年09月10日（周日）,9197513,1420504,230449,2207403,324467,746020,163000,273881,300962,191615
2017年09月11日（周一）,9657389,1456273,215119,2243171,342351,766459,173219,301984,291254,186505
2017年09月12日（周二）,11088113,1527809,210521,2227842,306583,771569,180373,358191,276436,193147
2017年09月13日（周三）,12467741,1481821,200301,2273829,327533,751130,180373,413377,307605,193147
2017年09月14日（周四）,14051757,1532919,194169,2273829,309649,715362,198257,413377,304029,193147
2017年09月15日（周五）,15891260,1578906,205411,2376024,304540,715362,194169,418486,303007,198257
2017年09月16日（周六）,15891260,1578906,212053,2513987,319869,761350,199279,377609,308116,180373
2017年09月17日（周日）,15635773,1543138,219718,2585523,314759,766459,219207,404690,303007,175263
2017年09月18日（周一）,15431384,1568687,254464,2631511,310160,792008,224317,368922,310671,165044
2017年09月19日（周二）,15380287,1548248,260596,2728595,340818,843105,206944,312715,327533,158401
2017年09月20日（周三）,15584676,1548248,265705,2728595,343884,843105,225339,276947,342351,153291
2017年09月21日（周四）,15584676,1655552,526301,2835900,354104,878873,222784,257019,354615,137962
2017年09月22日（周五）,15635773,1645333,528856,2902326,405201,863544,212054,291254,354104,148182
2017年09月23日（周六）,15737968,1691320,517104,2800132,389872,807337,201834,315270,343373,167599
2017年09月24日（周日）,15686870,1778186,523747,2820571,415421,781788,201834,299941,333665,167599
2017年09月25日（周一）,15533578,1711759,516082,2805241,424618,766459,196724,312715,318847,182928
2017年09月26日（周二）,15278092,1716869,499731,2800132,399581,730691,201834,328555,322424,182928
2017年09月27日（周三）,14971508,1727088,504841,2805241,421552,761349,178329,297897,304029,182928
2017年09月28日（周四）,13489686,1578906,248843,2754144,441991,751130,168110,319358,285123,200301
2017年09月29日（周五）,11701281,1548248,235047,2738815,406223,781788,173219,268261,305050,195191
2017年09月30日（周六）,11394697,1492041,224828,2861448,390894,807337,168110,266728,264684,221762
2017年10月01日（周日）,10270557,1440943,217674,2963643,385784,848215,132852,282057,289721,242201
2017年10月02日（周一）,8993124,1446053,205922,3183361,383740,822666,122633,274392,305050,247311
2017年10月03日（周二）,7766789,1430724,211032,3316214,362790,837995,117523,258552,294831,237091
2017年10月04日（周三）,6489356,1400066,190593,3459287,327022,848215,107304,248333,292787,247311
2017年10月05日（周四）,8226665,1440943,185994,3515494,337242,868654,102194,226872,270815,261618
2017年10月06日（周五）,9912876,1440943,185994,3602359,355126,878873,86865,216652,252931,273370
2017年10月07日（周六）,10270557,1492041,201323,3653456,330599,894202,86865,194169,309138,212053
2017年10月08日（周日）,11343600,1492041,189060,3469506,310160,894202,91974,148182,314248,222273
2017年10月09日（周一）,12569935,1466492,183950,3305995,319869,914641,109859,137962,304029,212053
2017年10月10日（周二）,13745173,1476711,178840,3168032,347972,899312,126721,154313,304029,212053
2017年10月11日（周三）,15022606,1481821,204389,3004521,368411,853325,147160,177818,288699,201834
2017年10月12日（周四）,14818216,1461382,215630,2973862,337753,827776,179862,172708,319358,175263
2017年10月13日（周五）,14818216,1553357,241179,3004521,355637,802227,184972,204389,310671,158401
2017年10月14日（周六）,14920411,1584016,261618,2953424,339286,751130,212053,235047,296364,214608
2017年10月15日（周日）,15124800,1727088,281546,2902326,339286,705142,237602,240157,267750,194169
2017年10月16日（周一）,15073703,1732198,295853,2866558,322424,689813,235047,258552,285634,189059
2017年10月17日（周二）,15073703,1701540,301473,2825680,319869,689813,235558,226872,288699,199279
2017年10月18日（周三）,15073703,1752637,281034,2815461,289210,694923,225339,203367,293809,218696
2017年10月19日（周四）,14971508,1696430,259574,2876777,308627,751130,222784,216141,283590,218696
2017年10月20日（周五）,15073703,1665772,258041,2759254,291254,817557,222784,216652,282568,218696
2017年10月21日（周六）,13132006,1660662,232492,2759254,311693,848215,216141,199279,284101,218696
2017年10月22日（周日）,12825422,1578906,217674,2871668,337242,812447,211031,214608,256508,227382
2017年10月23日（周一）,12723227,1604455,203367,2958533,329066,832886,216652,201323,228405,241690
2017年10月24日（周二）,12723227,1630003,192636,3055618,298408,837995,209499,247310,224317,241690
2017年10月25日（周三）,12569935,1619784,213075,3122045,334176,843105,204389,267749,224317,232492
2017年10月26日（周四）,12365546,1640223,218185,3060728,319358,827776,174241,275414,208987,242712
2017年10月27日（周五）,12723227,1573796,205411,3147593,307094,817556,179351,267749,216652,242712
2017年10月28日（周六）,12774324,1532918,195191,3198691,281546,950409,174242,271837,183439,223806
2017年10月29日（周日）,12825422,1527809,179862,3270227,210009,1052604,164022,261618,183439,245778
2017年10月30日（周一）,12927616,1522699,164533,3219129,210009,1057714,158401,261618,195191,221251
2017年10月31日（周二）,12621032,1507370,174752,3183361,235558,1032165,148182,220740,191103,231981
2017年11月01日（周三）,12365546,1446053,174752,3122045,214608,1032165,158401,205411,191103,231981
2017年11月02日（周四）,12314449,1476711,183950,3111825,213586,1032165,168621,179862,191103,242201
2017年11月03日（周五）,10168362,1517589,172708,3065838,227894,1052604,163511,160445,178840,242201
2017年11月04日（周六）,10066168,1507370,188038,2968753,273881,996397,158401,137962,178840,225339
2017年11月05日（周日）,9963973,1446053,193148,3019850,345417,1042385,168621,122633,202856,184461
2017年11月06日（周一）,9963973,1456273,222784,3004521,364834,1052604,168621,117523,218185,189571
2017年11月07日（周二）,10219459,1415395,212564,2973862,364323,1093482,168621,134896,222273,178840
2017年11月08日（周三）,10423849,1435834,192125,3035179,368411,1139469,168621,140006,224828,163511
2017年11月09日（周四）,10372751,1354078,188038,2968753,374032,1139469,173730,134896,214608,148182
2017年11月10日（周五）,10219459,1272322,198257,2835900,328044,1093482,186505,152780,234536,153292
2017年11月11日（周六）,11445794,1190567,198257,2784802,276947,1073043,196724,157890,247311,178329
2017年11月12日（周日）,11394697,1159908,208477,2733705,215630,996397,176285,168110,213075,197746
2017年11月13日（周一）,10270557,1129250,194169,2764363,219718,970848,194680,168110,229427,231981
2017年11月14日（周二）,10372751,1139469,204389,2764363,204900,996397,222273,155846,232492,221762
2017年11月15日（周三）,10321654,1103701,245267,2820570,207965,1006616,217163,145627,239135,244756
2017年11月16日（周四）,10270557,1124140,245267,2953423,178329,945300,212053,155846,244245,268771
2017年11月17日（周五）,11752378,1195677,235047,3106715,208987,894202,189060,143072,208988,253442
2017年11月18日（周六）,12007865,1221225,224828,3152703,280524,848215,178840,132852,213075,228405
2017年11月19日（周日）,12161157,1246774,219718,3152703,280524,889093,199279,122633,248843,219207
2017年11月20日（周一）,13285297,1241664,231471,3137374,276436,955519,165555,112413,222273,184972
2017年11月21日（周二）,13234200,1190567,226361,3137374,292787,914641,143072,102194,208477,184972
2017年11月22日（周三）,13285297,1180347,205922,3168032,295342,924861,137962,107304,194169,161978
2017年11月23日（周四）,13285297,1170128,223295,3060728,329577,945299,127743,97084,218696,127743
2017年11月24日（周五）,13336394,1134359,241690,3050509,341840,981068,166577,75623,263151,147671
2017年11月25日（周六）,13336394,1083262,251909,3101606,326511,1047494,166577,64893,257019,137451
2017年11月26日（周日）,13285297,1047494,271326,3101606,377609,1016836,146138,70003,272348,127232
2017年11月27日（周一）,13183103,1078153,264684,3168032,369433,960629,146138,69492,277458,137451
2017年11月28日（周二）,13029811,1149689,264684,3249788,363301,929970,130808,74601,292276,147671
2017年11月29日（周三）,12927616,1200786,264684,3193581,366367,837995,146138,69492,297386,152780
2017年11月30日（周四）,12876519,1200786,247311,3254898,363301,802227,161467,69492,272859,163000
2017年12月01日（周五）,12774324,1170128,234025,3295775,345928,848215,143072,85843,297386,153292
2017年12月02日（周六）,11190308,1282542,218696,3346873,356148,817556,148182,96573,297386,163511
2017年12月03日（周日）,11394697,1302981,204389,3346873,315270,868654,153292,106793,259063,178840
2017年12月04日（周一）,11599086,1256993,204389,3239568,309138,868654,158401,117523,224317,183950
2017年12月05日（周二）,12212254,1231444,209499,3168032,309138,878873,163511,117523,183439,183950
2017年12月06日（周三）,12518838,1216115,226872,3219129,291765,909532,158401,122633,163000,194170
2017年12月07日（周四）,12978713,1185457,238624,3290666,275925,904422,143072,150736,183950,194170
2017年12月08日（周五）,11547989,1226335,238624,3305995,288189,878873,137962,145627,158401,199279
2017年12月09日（周六）,13336395,1144579,233514,3234459,252420,873763,132852,160956,137962,214098
2017年12月10日（周日）,13387492,1154798,228405,3234459,262640,848215,148182,150736,163000,218696
2017年12月11日（周一）,13234200,1159908,223295,3270227,272348,858434,158401,150736,142561,203367
2017年12月12日（周二）,12876519,1165018,202856,3239568,308116,863544,173731,155846,166577,193147
2017年12月13日（周三）,12774324,1185457,180373,3224239,318336,853324,197235,160956,185994,193147
2017年12月14日（周四）,12621032,1231444,175774,3101606,334176,883983,248333,153291,226360,188038
2017年12月15日（周五）,14205049,1190567,190082,3030069,352571,827776,248333,168621,180373,182928
2017年12月16日（周六）,14051757,1185457,210521,2994301,337242,771569,324979,180373,180373,157890
2017年12月17日（周日）,13847367,1159908,215630,2994301,336220,715362,370966,195702,166577,153291
2017年12月18日（周一）,13898465,1190567,220740,2973862,321402,705142,401624,205922,166577,163511
2017年12月19日（周二）,13949562,1195677,241179,2984082,280524,710252,432283,205922,190592,173731
2017年12月20日（周三）,13949562,1149689,241179,2927875,280524,746020,454766,224317,193658,173731
2017年12月21日（周四）,13745173,1129250,234025,2958533,290232,725581,427173,203878,206943,178840
2017年12月22日（周五）,13745173,1098592,226872,2943204,259574,735801,427173,188549,214608,183950
2017年12月23日（周六）,13540784,1119030,234025,2984082,280013,730691,340308,156357,180373,213076
2017年12月24日（周日）,13694075,1088372,218696,2932985,265706,730691,299430,146138,218185,197746
2017年12月25日（周一）,13694075,1098591,218696,3009631,270815,730691,268772,135918,228404,202856
2017年12月26日（周二）,13642978,1604455,224317,3060728,277458,725581,233003,130809,243734,202856
2017年12月27日（周三）,13642978,1630003,224317,3040289,271326,705142,181906,107304,272859,211032
2017年12月28日（周四）,13796270,1624894,219207,3019850,245778,730691,181906,107304,278991,205922
2017年12月29日（周五）,14000659,1691320,217163,3040289,240668,720472,192125,112413,297897,212564
2017年12月30日（周六）,12621032,1747527,215119,3055618,240668,740910,192125,122633,305051,203878
2017年12月31日（周日）,13080908,1839502,210010,3311105,251909,694923,176796,145116,286656,214097
2018年01月01日（周一）,13183103,1849722,210010,3423519,264684,705142,161467,140006,317314,234536
2018年01月02日（周二）,13285297,1389846,189060,3321324,283590,705142,166577,140006,322424,224317
2018年01月03日（周三）,13489687,1400065,194169,3280446,284612,700033,171687,140006,298408,221251
2018年01月04日（周四）,13540784,1476711,219718,3275336,310160,679594,153291,155335,274392,241690
2018年01月05日（周五）,13489686,1517589,221762,3214020,335709,679594,143072,140006,252420,254975
2018年01月06日（周六）,15175897,1486931,221762,3152703,310160,664265,153291,151247,244245,244756
2018年01月07日（周日）,14818216,1548248,237091,2876778,463452,684703,153291,128765,254464,239646
2018年01月08日（周一）,14818216,1553357,237091,2651949,554405,689813,177818,133874,234025,214097
2018年01月09日（周二）,14767119,1584016,242201,2789912,531411,746020,182928,138984,234025,234536
2018年01月10日（周三）,14562730,1594235,246800,2886997,572289,766459,218696,138984,244245,224317
2018年01月11日（周四）,14460535,1670881,333665,2958533,562070,802227,231981,138984,252421,214097
2018年01月12日（周五）,14205049,1630003,316292,2978972,531411,843105,250376,164533,274392,183950
2018年01月13日（周六）,14000659,1624893,295853,3040289,500753,883983,278991,158401,274392,194169
2018年01月14日（周日）,13847367,1594235,300963,3014740,398558,904422,289210,148182,264173,204389
2018年01月15日（周一）,13796270,1573796,306072,3162922,347461,909532,305562,153291,253442,199279
2018年01月16日（周二）,13642978,1522699,311182,3106715,424107,873763,310160,148182,244245,178840
2018年01月17日（周三）,13591881,1481821,314248,3127154,342351,853325,288188,148182,233003,173730
2018年01月18日（周四）,13540784,1369407,227383,3081167,332132,863544,326000,143072,233003,163511
2018年01月19日（周五）,13489686,1369407,222273,3198690,388339,853325,318847,132852,233003,163511
2018年01月20日（周六）,13438589,1364297,245778,3249788,388339,863544,305561,117523,234025,174752
2018年01月21日（周日）,13387492,1328529,255997,3397970,429217,991287,310671,117523,243223,164533
2018年01月22日（周一）,13285297,1318310,235558,3357092,429217,955519,290232,117523,258041,159423
2018年01月23日（周二）,13234200,1292761,257019,3377531,418997,1021946,301474,122633,240157,159423
2018年01月24日（周三）,13132005,1282542,239135,3326434,429217,1154799,282568,147670,229937,164533
2018年01月25日（周四）,13080908,1256993,239135,3357092,429217,1226335,254464,157890,240157,154313
2018年01月26日（周五）,13029811,1241664,223806,3300885,444546,1302981,278991,157890,240668,154313
2018年01月27日（周六）,13132005,1205896,244245,3300885,516082,1384736,268771,163000,255997,149203
2018年01月28日（周日）,13132005,1211006,246800,3249788,470095,1466492,273881,173219,266217,144094
2018年01月29日（周一）,13132005,1216115,251909,3249788,454766,1507370,299430,188549,238113,159423
2018年01月30日（周二）,13336394,1205896,267239,3305995,475204,1415395,283590,178329,220229,164533
2018年01月31日（周三）,13285297,1221225,267749,3387751,470095,1313200,311182,172708,240668,169642
2018年02月01日（周四）,13234200,1195676,272859,3428628,470095,1251883,293298,157379,266216,169642
2018年02月02日（周五）,13234200,1175238,252420,3438848,398558,1144579,293298,147160,235047,169642
2018年02月03日（周六）,13080908,1272322,263662,3362202,429217,1011726,313737,157379,238624,143072
2018年02月04日（周日）,13080908,1297871,247822,3413299,373010,817557,317314,142050,228404,143072
2018年02月05日（周一）,13132005,1277432,238624,3367312,367900,807337,276436,126721,223295,132852
2018年02月06日（周二）,12978713,1246774,252931,3316214,352571,853325,276436,142050,240157,127743
2018年02月07日（周三）,13080908,1241664,245267,3249788,393449,858434,276947,132853,228405,122633
2018年02月08日（周四）,13080908,1236554,270815,3275337,434326,853325,297897,137962,213075,122633
2018年02月09日（周五）,13029811,1211006,291254,3198691,464985,889093,267239,153292,192637,122633
2018年02月10日（周六）,13183103,1113921,274903,3275337,424107,919751,246800,132853,228405,127742
2018年02月11日（周日）,13183103,970848,315781,3326434,454765,950409,263662,158401,245267,143072
2018年02月12日（周一）,13132005,955519,309649,3397970,430239,945300,263662,142050,220229,127743
2018年02月13日（周二）,13132005,945300,290232,3556372,394471,919751,253442,136940,252931,143072
2018年02月14日（周三）,12927616,940190,286145,3719883,353593,914641,240668,116501,268261,153291
2018年02月15日（周四）,12723227,883983,260596,3770980,348483,848215,204389,97595,273370,163511
2018年02月16日（周五）,12365546,858434,260596,3995808,333154,792008,189059,77156,278480,163511
2018年02月17日（周六）,11752378,812447,291254,4046906,276947,730691,189059,82266,278480,163511
2018年02月18日（周日）,11496892,817556,260596,4098003,302496,613167,148182,48542,263151,148182
2018年02月19日（周一）,11394697,786898,245267,4092893,281035,562070,137962,49564,237602,158401
2018年02月20日（周二）,11496892,802227,260596,4036686,275925,664264,137962,39344,229938,163511
2018年02月21日（周三）,11650184,797118,281035,4087783,327022,786898,127743,49564,240157,158401
2018年02月22日（周四）,11752378,812447,291254,4087783,319869,986177,143072,63360,245267,153291
2018年02月23日（周五）,12058962,812447,286144,4036686,340308,1154798,143072,68470,240157,148182
2018年02月24日（周六）,12467741,807337,255486,3985589,396515,1425614,132852,68470,229938,148182
2018年02月25日（周日）,12569935,853324,245267,3781200,416953,1721979,122633,116501,240157,153291
